"strain","sample","name","lineage","vni_subdivision","mating_type","country_of_origin","isolation_source","broad_project","sra_accession","strain_description","in_gwas","phenotyped","source","dataset","species_id_from_mash_anlaysis","study","hiv_status","continent_of_origin","year_of_origin","mean_depth_of_mapping_with_mq_._30_across_whole_genome","proportion_of_genome_covered_by_at_least_5_reads_which_mapped_with_mq_._30","run"
"BK85","ERS1142743","20427_2#46","VNI","VNIa-93","","Vietnam","","","ERR1671644","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2005,42.99119957,0.959578057,NA
"BK86","ERS1142744","20427_2#47","VNI","VNIa-4","","Vietnam","","","ERR1671645","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2005,40.98215595,0.956903935,NA
"BK87","ERS542394","14936_1#3","VNI","VNIa-4","","Vietnam","","","ERR842635","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2005,32.68795824,0.956052227,NA
"BK88","ERS1142745","20427_2#48","VNI","VNIa-4","","Vietnam","","","ERR1671646","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2005,44.53895986,0.956639821,NA
"BK89","ERS1142746","20427_2#49","VNI","VNIa-4","","Vietnam","","","ERR1671647","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2005,46.56092494,0.957412496,NA
"BK90","ERS1142747","20427_2#50","VNI","VNIa-4","","Vietnam","","","ERR1671648","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2005,48.59239927,0.956902402,NA
"BK91","ERS1142748","20427_2#51","VNI","VNIa-5","","Vietnam","","","ERR1671649","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2005,42.90505216,0.960230094,NA
"BK92","ERS1142749","20427_2#52","VNI","VNIa-32","","Vietnam","","","ERR1671650","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2005,38.21346629,0.960259592,NA
"BK93","ERS1142750","20427_2#53","VNI","VNIa-4","","Vietnam","","","ERR1671651","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2005,41.52486175,0.957138549,NA
"BK94","ERS1142751","20427_2#54","VNI","VNIa-5","","Vietnam","","","ERR1671652","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2005,37.3373437,0.959600578,NA
"BK95","ERS1142752","20427_2#55","VNI","VNIa-4","","Vietnam","","","ERR1671653","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2005,40.85734668,0.956455164,NA
"BK96","ERS1142753","20427_2#56","VNI","VNIa-4","","Vietnam","","","ERR1671654","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2005,37.89679283,0.956700722,NA
"BK97","ERS1142754","20427_2#57","VNI","VNIa-5","","Vietnam","","","ERR1671655","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2005,40.52275285,0.960174427,NA
"BK98","ERS1142755","20427_2#58","VNI","VNIa-4","","Vietnam","","","ERR1671656","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2005,42.37154626,0.956770133,NA
"BK99","ERS1142756","20427_2#59","VNI","VNIa-5","","Vietnam","","","ERR1671657","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2005,40.57996428,0.9597689,NA
"BMD0367","ERS542586","14893_3#52","VNI","VNIa-5","","Vietnam","","","ERR775391","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","negative","Asia",NA,35.90889986,0.958772553,NA
"BMD101","ERS2541335","BMD101","VNI","VNIa-5","","Vietnam","","","ERR2624100","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","negative","Asia",1997,50.83942592,0.99121199,NA
"BMD1198","ERS542587","14893_3#53","VNI","VNIa-5","","Vietnam","","","ERR775392","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","negative","Asia",NA,35.46793799,0.958227621,NA
"BMD1228","ERS2541165","BMD1228","VNI","VNIa-5","","Vietnam","","","ERR2624491","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","negative","Asia",NA,33.33890745,0.987798441,NA
"BMD1232","ERS2541240","BMD1232","VNI","VNIa-5","","Vietnam","","","ERR2624416","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","negative","Asia",2007,44.5906006,0.991328075,NA
"BMD1291","ERS2541258","BMD1291","VNI","VNIa-5","","Vietnam","","","ERR2624106","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","negative","Asia",2007,36.95493329,0.990521086,NA
"BMD1338","ERS1142896","20949_2#56","VNI","VNIa-5","","Vietnam","","","ERR1764085","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","negative","Asia",2007,39.87139341,0.990506952,NA
"BMD1353","ERS2541242","BMD1353","VNI","VNIa-5","","Vietnam","","","ERR2624126","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","negative","Asia",NA,51.20687285,0.990996651,NA
"BMD1392","ERS2541109","BMD1392","VNI","VNIa-4","","Vietnam","","","ERR2624444","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","negative","Asia",NA,36.62996842,0.985887868,NA
"BMD1415","ERS2541103","BMD1415","VNI","VNIa-4","","Vietnam","","","ERR2624218","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","negative","Asia",NA,57.57515341,0.987555894,NA
"BMD1452","ERS2541176","BMD1452","VNI","VNIa-5","","Vietnam","","","ERR2624297","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","negative","Asia",NA,55.58908016,0.991777438,NA
"BMD1465","ERS2541129","BMD1465","VNI","VNIa-5","","Vietnam","","","ERR2624494","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","negative","Asia",2008,38.34769519,0.990911426,NA
"BMD1534","ERS2541208","BMD1534","VNI","VNIa-5","","Vietnam","","","ERR2624177","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","negative","Asia",NA,69.19710709,0.992642921,NA
"BMD1592","ERS2541252","BMD1592","VNI","VNIa-5","","Vietnam","","","ERR2624472","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","negative","Asia",2008,39.21282314,0.990615362,NA
"BMD1646","ERS1142898","20427_4#20","VNI","VNIa-5","","Vietnam","","","ERR1671748","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","negative","Asia",2008,61.60134761,0.960497961,NA
"BMD1673","ERS2541306","BMD1673","VNI","VNIa-5","","Vietnam","","","ERR2624391","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","negative","Asia",2008,41.48484683,0.989413585,NA
"BMD1713","ERS2541096","BMD1713","VNI","VNIa-5","","Vietnam","","","ERR2624256","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","negative","Asia",2008,35.16611894,0.989580489,NA
"BMD1716","ERS2541101","BMD1716","VNI","VNIa-5","","Vietnam","","","ERR2624394","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","negative","Asia",2008,38.02434812,0.989794345,NA
"BMD1828","ERS2541112","BMD1828","VNI","VNIa-5","","Vietnam","","","ERR2624152","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","negative","Asia",2009,29.82554876,0.989575672,NA
"BMD1879","ERS2541152","BMD1879","VNI","VNIa-4","","Vietnam","","","ERR2624158","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2009,42.35806479,0.985483077,NA
"BMD1903","ERS2541228","BMD1903","VNI","VNIa-5","","Vietnam","","","ERR2624340","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","negative","Asia",2009,38.63022367,0.990105601,NA
"BMD1929","ERS2541195","BMD1929","VNI","VNIa-4","","Vietnam","","","ERR2624316","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2009,47.0988062,0.985480536,NA
"BMD2031","ERS2541279","BMD2031","VNI","VNIa-5","","Vietnam","","","ERR2624133","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","negative","Asia",2009,55.35108651,0.990605146,NA
"BMD2106","ERS2541122","BMD2106","VNI","VNIa-5","","Vietnam","","","ERR2624102","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","negative","Asia",NA,39.33062158,0.990750399,NA
"BMD2209","ERS2541247","BMD2209","VNI","VNIa-4","","Vietnam","","","ERR2624406","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","negative","Asia",2010,47.59531275,0.982824007,NA
"BMD2216","ERS2541192","BMD2216","VNI","VNIa-32","","Vietnam","","","ERR2624246","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","negative","Asia",2010,41.31997947,0.989344241,NA
"BMD2298","ERS2541161","BMD2298","VNI","VNIa-5","","Vietnam","","","ERR2624090","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","negative","Asia",2010,66.89811903,0.992496239,NA
"BMD2407","ERS2541230","BMD2407","VNI","VNIa-5","","Vietnam","","","ERR2624356","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","negative","Asia",2010,44.91131963,0.990336979,NA
"BMD2495","ERS2541327","BMD2495","VNI","VNIa-5","","Vietnam","","","ERR2624343","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","negative","Asia",2011,66.81866688,0.991659341,NA
"BMD2617","ERS2541162","BMD2617","VNI","VNIa-5","","Vietnam","","","ERR2624480","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","negative","Asia",2011,49.77888691,0.991566282,NA
"BMD2620","ERS2541159","BMD2620","VNI","VNIa-93","","Vietnam","","","ERR2624314","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2011,71.75075237,0.991059432,NA
"BMD2655","ERS2541330","BMD2655","VNI","VNIa-5","","Vietnam","","","ERR2624227","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2011,56.4612308,0.989529195,NA
"BMD2733","ERS2541090","BMD2733","VNI","VNIa-4","","Vietnam","","","ERR2624130","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","negative","Asia",2011,34.26320508,0.986616091,NA
"BMD2765","ERS2541328","BMD2765","VNI","VNIa-5","","Vietnam","","","ERR2624404","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","negative","Asia",2011,59.81897993,0.99095607,NA
"BMD2773","ERS2541134","BMD2773","VNI","VNIa-4","","Vietnam","","","ERR2624450","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","negative","Asia",2011,55.3957695,0.987546154,NA
"BMD2801","ERS2541198","BMD2801","VNI","VNIa-32","","Vietnam","","","ERR2624299","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","negative","Asia",2011,64.01562395,0.991381487,NA
"BMD2806","ERS2541218","BMD2806","VNI","VNIa-4","","Vietnam","","","ERR2624211","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","negative","Asia",2012,56.03736085,0.988090853,NA
"BMD2809","ERS2541128","BMD2809","VNI","VNIa-5","","Vietnam","","","ERR2624351","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","negative","Asia",2012,64.49714367,0.992726346,NA
"BMD2834","ERS2541287","BMD2834","VNI","VNIa-4","","Vietnam","","","ERR2624235","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","negative","Asia",2012,45.46944002,0.986509799,NA
"BMD2973","ERS2541114","BMD2973","VNI","VNIa-4","","Vietnam","","","ERR2624503","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2012,73.42815083,0.988329694,NA
"BMD3002","ERS2541315","BMD3002","VNI","VNIa-5","","Vietnam","","","ERR2624278","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2012,48.53368488,0.986517156,NA
"BMD3079","ERS2541273","BMD3079","VNI","VNIa-5","","Vietnam","","","ERR2624194","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","negative","Asia",2013,52.4264727,0.991702853,NA
"BMD3117","ERS2541264","BMD3117","VNI","VNIa-5","","Vietnam","","","ERR2624428","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","negative","Asia",2013,31.70010491,0.989659256,NA
"BMD3118","ERS2541207","BMD3118","VNI","VNIa-5","","Vietnam","","","ERR2624483","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","negative","Asia",2013,39.92192928,0.989617119,NA
"BMD3135","ERS2541284","BMD3135","VNI","VNIa-5","","Vietnam","","","ERR2624112","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","negative","Asia",2013,49.90616056,0.991825291,NA
"BMD3144","ERS2541126","BMD3144","VNI","VNIa-5","","Vietnam","","","ERR2624423","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","negative","Asia",2013,54.87178396,0.991966151,NA
"BMD3244","ERS2541086","BMD3244","VNI","VNIa-5","","Vietnam","","","ERR2624377","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","negative","Asia",2014,43.70809864,0.991040375,NA
"BMD368","ERS2541220","BMD368","VNI","VNIa-5","","Vietnam","","","ERR2624495","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","negative","Asia",2000,43.97562372,0.990329991,NA
"BMD394","ERS2541153","BMD394","VNI","VNIa-4","","Vietnam","","","ERR2624402","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","negative","Asia",2000,61.34555293,0.986669397,NA
"BMD494","ERS2541183","BMD494","VNI","VNIa-5","","Vietnam","","","ERR2624345","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","negative","Asia",NA,37.58477186,0.989762955,NA
"BMD534","ERS2541202","BMD534","VNI","VNIa-5","","Vietnam","","","ERR2624417","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","negative","Asia",2001,40.58495009,0.99076972,NA
"BMD673","ERS1142899","20949_2#58","VNI","VNIa-5","","Vietnam","","","ERR1756590","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","negative","Asia",2002,39.80276598,0.990353971,NA
"BMD700","ERS542590","14893_3#56","VNI","VNIa-5","","Vietnam","","","ERR775395","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","negative","Asia",2002,34.99326169,0.958269384,NA
"BMD732","ERS2541087","BMD732","VNI","VNIa-5","","Vietnam","","","ERR2624114","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","negative","Asia",2003,65.74419884,0.992200546,NA
"BMD745","ERS2541149","BMD745","VNI","VNIa-4","","Vietnam","","","ERR2624301","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","negative","Asia",2003,66.76460857,0.986272016,NA
"BMD761","ERS2541274","BMD761","VNI","VNIa-5","","Vietnam","","","ERR2624203","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","negative","Asia",2003,54.31413459,0.991249893,NA
"BMD852","ERS2541188","BMD852","VNI","VNIa-5","","Vietnam","","","ERR2624161","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","negative","Asia",2004,60.8564007,0.99206535,NA
"BMD854","ERS1142893","20949_2#53","VNI","VNIa-5","","Vietnam","","","ERR1756586","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","negative","Asia",2005,51.76217055,0.991059061,NA
"BMD865","ERS2541097","BMD865","VNI","VNIa-5","","Vietnam","","","ERR2624454","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","negative","Asia",2005,60.8685578,0.991739961,NA
"BMD867","ERS2541081","BMD867","VNI","VNIa-5","","Vietnam","","","ERR2624339","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","negative","Asia",2005,70.41926558,0.99232256,NA
"BMD894","ERS2541169","BMD894","VNI","VNIa-5","","Vietnam","","","ERR2624170","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","negative","Asia",NA,41.02894497,0.990193473,NA
"BMD899","ERS2541210","BMD899","VNI","VNIa-5","","Vietnam","","","ERR2624279","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","negative","Asia",2006,38.43972226,0.988880374,NA
"BMD903","ERS1142894","20949_2#54","VNI","VNIa-5","","Vietnam","","","ERR1756587","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","negative","Asia",2006,44.59399372,0.990766809,NA
"BMD910","ERS2541246","BMD910","VNI","VNIa-5","","Vietnam","","","ERR2624481","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","negative","Asia",NA,48.63669208,0.989810384,NA
"BMD915","ERS2541156","BMD915","VNI","VNIa-32","","Vietnam","","","ERR2624113","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","negative","Asia",NA,47.19983629,0.990832871,NA
"BMD942","ERS2541105","BMD942","VNI","VNIa-32","","Vietnam","","","ERR2624207","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","negative","Asia",NA,58.92758853,0.991400437,NA
"BMD973","ERS1142895","20949_2#55","VNI","VNIa-4","","Vietnam","","","ERR1756588","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","negative","Asia",2006,44.03934188,0.985531883,NA
"CNS_1017","ERS2541405","CNS_1017","VNI","VNIa-4","","Laos","","","ERR2624163","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2011,38.68089374,0.985747009,NA
"CNS_1026","ERS2541404","CNS_1026","VNI","VNIa-4","","Laos","","","ERR2624282","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2011,38.90376426,0.985263768,NA
"CNS_1047","ERS2541403","CNS_1047","VNI","VNIa-4","","Laos","","","ERR2624220","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2011,42.31634704,0.98656231,NA
"CNS_1085","ERS2541402","CNS_1085","VNI","VNIa-4","","Laos","","","ERR2624098","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2011,41.87594034,0.986063929,NA
"CNS_1087","ERS2541401","CNS_1087","VNI","VNIa-4","","Laos","","","ERR2624223","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2015,53.65748119,0.986383232,NA
